7/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Name,DOB,Age,2021 Exp,COLLEGE,COUNTRY,NBA D YR,NBA D R,NBA D P,NBN D YR,NBN D R,NBN D P,Bio URL,2k Overall,Height,Weight,Primary Pos.,Secondary Pos.,2021 Awards,2022 Awards,2023 Awards,2024 Awards,2025 Awards,2026 Awards,2027 Awards,2028 Awards,2029 Awards,2030 Awards,2031 Awards,2021 Salary,2022 Salary,2023 Salary,2024 Salary,2025 Salary,2026 Salary,2027 Salary,2028 Salary,2029 Salary,2030 Salary,2031 Salary,2032 Salary,2033 Salary,2034 Salary,2035 Salary,2036 Salary,2037 Salary,2038 Salary,2039 Salary,2040 Salary,2020-21 Starts,2022 Starts,2023 Starts,2024 Starts,2025 Starts,2026 Starts,2027 Starts,2028 Starts,2029 Starts,2030 Starts,2031 Starts,Combo Pos.,Team,Img URL
"ACHIUWA, PRECIOUS","ACHIUWA, PRECIOUS",9/19/1999,22,2,Memphis,Nigeria,2020,Round 1,Pick 20,2020,Round 1,Pick 17 (MIN),https://docs.google.com/spreadsheets/d/1gHbnhiX8MX44DaXGc-KS_N8swlKnaMWQw6Nos-d6n1A/edit?usp=sharing,75,"6'8""",225 lbs,C,PF,,,,,,,,,,,,"$2,470,700","$2,594,300","$2,717,900",,,,,,,,,,,,,,,,,,50,18,,,,,,,,,,C/PF,PHX,https://www.basketball-reference.com/req/202106291/images/players/achiupr01.jpg
"Adams, Steven","ADAMS, STEVEN",7/20/1993,29,9,Pittsburgh,New Zealand,2013,Round 1,Pick 12,,,,https://docs.google.com/spreadsheets/d/1oABSHgDJekUe_I9vZfwYJ3oejcFlBGVHXwmngA2wFoU/edit?usp=sharing,82,"6'11""",265 lbs,C,,,,,,,,,,,,,"$357,642","$4,910,000",,,,,,,,,,,,,,,,,,,51,27,,,,,,,,,,C,MIA,https://www.basketball-reference.com/req/202106291/images/players/adamsst01.jpg
"Adebayo, Bam","ADEBAYO, BAM",7/18/1997,25,5,Kentucky,USA,2017,Round 1,Pick 14,,,,https://docs.google.com/spreadsheets/d/1L_nSYUUNNB4nr67xpelaLOVf3GewS3C9VSkoNjLICtg/edit?usp=sharing,86,"6'9""",255 lbs,C,,NBN All-Star,NBN All-Star,,,,,,,,,,"$5,115,492","$28,103,500","$30,351,780","$32,600,060","$34,848,340",,,,,,,,,,,,,,,,82,81,,,,,,,,,,C,MIA,https://www.basketball-reference.com/req/202106291/images/players/adebaba01.jpg
"Aldama, Santi","ALDAMA, SANTI",1/10/2001,21,1,Loyola,Spain,2021,Round 1,Pick 30,2021,Round 2,Pick 52 (MEM),https://docs.google.com/spreadsheets/d/1gCzFfUdiwRNffutdzzDW5o_XMchP5iscalIrYynzIAE/edit?usp=sharing,70,"6'11""",224 lbs,C,PF,,,,,,,,,,,,,"$950,000","$1,600,000",,,,,,,,,,,,,,,,,,,0,,,,,,,,,,C/PF,MEM,https://www.basketball-reference.com/req/202106291/images/players/aldamsa01.jpg
"Aldridge, LaMarcus","ALDRIDGE, LAMARCUS",7/19/1985,37,16,Texas,USA,2006,Round 1,Pick 2,,,,https://docs.google.com/spreadsheets/d/1l1JCMmhq68Wttq9Y_CY9DO2h5ZEYUv0mElwLTL-9R34/edit?usp=sharing,78,"6'11""",250 lbs,C,PF,,,,,,,,,,,,"$24,000,000","$15,000,000","$15,000,000",,,,,,,,,,,,,,,,,,35,0,,,,,,,,,,C/PF,BKN,https://www.basketball-reference.com/req/202106291/images/players/aldrila01.jpg
"Alexander-Walker, Nickeil","ALEXANDER-WALKER, NICKEIL",9/2/1998,23,3,Virginia Tech,Canada,2019,Round 1,Pick 17,,,,https://docs.google.com/spreadsheets/d/1shOSRaABhJPLb6MEQP2LwbA0A0JobuJ63dvlttC12wU/edit?usp=sharing,74,"6'6""",205 lbs,SG,PG,,,,,,,,,,,,"$3,113,160","$3,261,480",,,,,,,,,,,,,,,,,,,3,6,,,,,,,,,,SG/PG,TOR,https://www.basketball-reference.com/req/202106291/images/players/alexani01.jpg
"Alexander, Ty-Shon","ALEXANDER, TY-SHON",7/16/1998,24,2,Creighton,USA,2020,Undrafted,,2020,Round 2,Pick 46 (POR),https://docs.google.com/spreadsheets/d/1bHzy2Fn_rOLTyqBeBFesu6SAl4DMOK019PcZ1Rlnogg/edit?usp=sharing,67,"6'3""",195 lbs,SG,PG,,,,,,,,,,,,"$950,000","$1,350,000",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,SG/PG,POR,https://www.basketball-reference.com/req/202106291/images/players/alexaty01.jpg
"Allen, Grayson","ALLEN, GRAYSON",10/8/1995,26,4,Duke,USA,2018,Round 1,Pick 21,,,,https://docs.google.com/spreadsheets/d/1E1MLQ01B9x7BScjLOeR3tmd0BQbxW986ZDSyINug-p0/edit?usp=sharing,76,"6'4""",198 lbs,SG,,,,,,,,,,,,,"$2,545,320","$4,054,695",,,,,,,,,,,,,,,,,,,3,42,,,,,,,,,,SG,MIN,https://www.basketball-reference.com/req/202106291/images/players/allengr01.jpg
"Allen, Jarrett","ALLEN, JARRETT",4/21/1998,24,5,Texas,USA,2017,Round 1,Pick 22,,,,https://docs.google.com/spreadsheets/d/1q7f9KrbobYmR_Gcutk5rucrNHZRKo5-TGq3BNV0rFHo/edit?usp=sharing,84,"6'11""",243 lbs,C,,,,,,,,,,,,,"$3,909,902","$25,000,000","$25,000,000","$25,000,000",,,,,,,,,,,,,,,,,70,76,,,,,,,,,,C,NOP,https://www.basketball-reference.com/req/202106291/images/players/allenja01.jpg
"Alvarado, Jose","ALVARADO, JOSE",4/12/1998,24,1,Georgia Tech,USA,2021,Undrafted,,2021,Undrafted,,https://docs.google.com/spreadsheets/d/1WvCnOvmkeVMNBTfjeHci6UMDVtv3tH51qOUICPJ2M6U/edit?usp=sharing,73,"6'0""",179 lbs,PG,,,,,,,,,,,,,,"$316,745",,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,PG,NOP,https://www.basketball-reference.com/req/202106291/images/players/alvarjo01.jpg
